comment_text,toxic,obscene,threat,insult,identity_hate
ma tme lai maya garchu,0,0,0,0,0
ma tme bina bachna sakdina,1,0,1,0,0
tmro ghar kha ho,0,0,0,0,0
tme kati ramri,0,0,0,0,0
tme kati ramro,0,0,0,0,0
tme ghar jau,0,0,0,0,0
timro haat ma k cha,0,0,0,0,0
tmeley khana khayau,0,0,0,0,0
tah fataha hos,1,0,0,1,1
tah chor hos,1,0,0,1,1
tah dhoti hos,1,0,0,1,1
tah khatey hos,1,0,0,1,1
maeley dekhe,0,0,0,0,0
ta chakka hos,1,1,0,1,1
machikne,1,1,0,1,0
ta murkha. gadha mero samaan na uda,1,0,0,1,1
ta jasto chutiya le k bigarthis ra mero kaam,1,1,0,1,0
ta chakka ko aafno kaam chhaina ra mero bigarna aauchas. ta malai ali kati ni man pardainas,1,1,1,1,1
ta euta murkha chutiya hos harami chor khate,1,1,0,1,0
malai samparka na gar ta chutiya randi,1,1,0,1,0
sab hapsi haru lai maarde,1,0,1,1,1
teslai jalaide. aago lagaidinu parchha,1,0,1,1,0
ta ganauney chaak jasto muji. machinke,1,1,0,1,1
yo kasto kaam na lagne chakka muji raichha,1,1,0,1,0
aru jaat lai hepchas taile.manxe herera kura garne gar,1,0,1,1,1
chakka,1,1,0,1,1
machikne maile yo lekhekai haina ta randi le gareko ho yo sab,1,1,0,1,0
taile galat manchhe sanga niu khojdai chhas muji,1,1,1,0,0
ta jatha dherai bolchhas. marlas hai feri,1,0,1,0,0
ta marlas hai feri. talai maar dinchhu. marchhas ta feri,1,0,1,0,0
kasto machinke raichha randi jasto,1,1,0,1,0
k ta machikne lai kei kaam chhaina. ta jatha dherai bolchhas muji daka,1,1,0,1,0
ta boula,1,0,0,1,1
ta chor jasto anuhaar vako. dher na kara hai muji,1,0,1,1,1
ta boka hos,1,0,0,1,0
taile yasto bakwaas kura biswaas gareko ta chhainas ni,1,0,0,1,0
ta badta boldai chhas. ahile kutai khalas,1,0,1,0,0
ta harami chhas ek number ko,1,0,0,1,0
tero bau le samma kei bigarna sakdaina mero,1,0,1,0,0
talai aaja yai kutera faldinchhu,1,0,1,0,0
malai maff gardeu,0,0,0,0,0
malai maff gardey,1,0,0,0,0
tah muji hos,1,1,0,1,0
tah randi ko baan hos,1,1,0,1,1
tero geda futaidinxu,1,1,1,0,0
tero lado katdinxu,1,1,1,0,0
malai maff gardinus,0,0,0,0,0
malai maff gardisiyos,0,0,0,0,0
malai maff gardinu ma bata kehi galti bhaye,0,0,0,0,0
malai maff gardeu ma bata galti bhayo,0,0,0,0,0
malai maff gardey maeley galti garey ,0,0,0,0,0
talai rape gardinxu,1,1,1,0,0
talai rape garera..marera faldinxu,1,1,1,0,0
talai jeudai jalaidinxu,1,0,1,0,0
tero ghati retera mardinxu,1,0,1,0,0
talai goli hanera mardinxu,1,0,1,0,0
malai maff gardinu maeley tapaile vaneko kaam garna sakina,0,0,0,0,0
malai maff gardeu ma tapai sanga naramro sanga bole,0,0,0,0,0
yo kura haru milau,0,0,0,0,0
yo kura mila,1,0,0,0,0
yo kura mileko chaina,0,0,0,0,0
yo kurama ma sahamat chu,0,0,0,0,0
yo kurama ma sahamat chuena,0,0,0,0,0
yo kura ramro cha,0,0,0,0,0
yo kura naramro cha,0,0,0,0,0
oi  k ho yo,1,0,0,0,0
oi kasto naramro kura garya,1,0,0,0,0
ma pheri aye,1,0,0,0,0
hiya kina ako,1,0,0,1,0
chup lag,1,0,1,1,0
