comment_text,toxic,obscene,threat,insult,identity_hate
ma tme lai maya garchu,0,0,0,0,0
ma tme bina bachna sakdina,0,1,0,0,0
Tmro ghar kha ho,0,0,0,0,0
tme kati ramri,0,0,0,0,0
tme kati ramro,0,0,0,0,0
tme ghar jau,0,0,0,0,0
timro haat ma k cha,0,0,0,0,0
tmeley khana khayau,0,0,0,0,0
tah fataha hos,1,0,1,1,1
tah chor hos,1,0,1,1,1
tah dhoti hos,1,0,1,1,1
tah khatey hos,1,0,1,1,0
maeley dekhe,0,0,0,0,0
ta chakka hos,1,1,0,1,1
machikne,1,1,0,1,0
ta murkha. Gadha mero samaan na uda,1,1,0,1,1
ta jasto chutiya le k bigarthis ra mero kaam,1,1,0,1,0
ta chakka ko aafno kaam chhaina ra mero bigarna aauchas. Ta malai ali kati ni man pardainas,1,1,1,1,1
ta euta murkha chutiya hos harami chor khate,1,1,0,1,0
malai samparka na gar ta chutiya randi,1,1,0,1,0
sab hapsi haru lai maarde,1,0,0,1,1
teslai jalaide. Aago lagaidinu parchha,1,0,1,1,0
ta ganauna chaka jasto muji. Machinke,1,1,0,1,1
yo kasto kaam na lagne chakka muji raichha,1,1,0,1,0
aru jaat lai hepchas taile.manxe herera kura garne gar,1,1,0,1,0
chakka,1,1,0,1,1
machikne maile yo lekhekai haina ta randi le gareko ho yo sab,1,1,0,1,0
taile galat manchhe sanga niu khojdai chhas muji,1,1,0,0,0
ta jatha dherai bolchhas. Marlas hai feri,1,0,1,0,0
ta marlas hai feri. Talai maar dinchhu. Marchhas ta feri,1,0,1,0,0
kasto machinke raichha randi jasto,1,0,0,1,0
k ta machikne lai kei kaam chhaina. Ta jatha dherai bolchhas muji daka,1,0,0,1,0
ta boula,1,0,0,1,0
ta chor jasto anuhaar vako. Dher na kara hai muji,1,0,0,1,1
ta boka hos,1,0,0,1,1
taile yasto bakwaas kura biswaas gareko ta chhainas ni,1,0,0,1,0
ta badta boldai chhas. Ahile kutai khalas,1,0,1,0,0
ta harami chhas ek number ko,1,0,0,1,1
tero bau le samma kei bigarna sakdaina mero,1,0,0,0,0
talai aaja yai kutera faldinchhu,1,0,1,0,0
malai maff gardeu,0,0,0,0,0
malai maff gardey,0,0,0,0,0
tah muji hos,1,0,0,1,0
tah randi ko baan hos,1,1,0,1,1
tero geda futaidinxu,1,0,1,1,0
tero lado katdinxu,1,0,1,1,0
malai maff gardinus,0,0,0,0,0
malai maff gardisiyos,0,0,0,0,0
malai maff gardinu ma bata kehi galti bhaye,0,0,0,0,0
malai maff gardeu ma bata galti bhayo,0,0,0,0,0
malai maff gardey maeley galti garey ,0,0,0,0,0
talai rape gardinxu,1,1,1,0,0
talai rape garera..marera faldinxu,1,1,1,0,0
talai jeudai jalaidinxu,1,0,1,0,0
tero ghati retera mardinxu,1,1,1,0,0
talai goli hanera mardinxu,1,0,1,0,0
malai maff gardinu maeley tapaile vaneko kaam garna sakina,0,0,0,0,0
malai maff gardeu ma tapai sanga naramro sanga bole,0,0,0,0,0
yo kura haru milau,0,0,0,0,0
yo kura mila,1,0,0,0,0
yo kura mileko chaina,0,0,0,0,0
yo kurama ma sahamat chu,0,0,0,0,0
yo kurama ma sahamat chuena,0,0,0,0,0
yo kura ramro cha,0,0,0,0,0
yo kura naramro cha,0,0,0,0,0
oi .k ho yo,1,0,0,0,0
oi ..kasto naramro kura garya,1,0,0,0,0
ma pheri aye,1,0,0,0,0
hiya kina ako,1,0,0,1,0
chup lag,1,0,1,1,0
timiharu chup lagera basa j paye tehi kura nagara,1,1,0,0,0
tah kaam gar,0,0,1,0,0
taeley malai kutis,0,1,1,0,0
theo manche chor ho,1,0,1,1,1
tesle mero luga choryo,0,1,0,0,0
theo manche lai xadnu hunna ...katera hidna parcha,1,1,1,0,0
prachandey chor ho,1,1,0,1,0
prachandey le garda desh bigreko ho,1,1,0,0,0
prachandey fataha ho,1,0,0,1,0
kp oli chor fataha ho,1,0,0,1,0
ma chiya khana jadina,0,0,0,0,0
malai chiya khana janu chaina tah sanga,1,0,0,1,0
tah muji hos,1,1,0,1,0
tah bihari dhoti hos,1,0,0,1,1
tah pahadey bahun muji,1,0,0,1,1
tah malai sex garna dey,1,1,1,0,0
tah mero ladu chus,1,1,1,1,0
tah kukur ko bachha hos,1,1,0,1,0
tah kukur hos,1,0,0,1,0
tero naam kukur ho,1,1,0,1,0
ja tero bau ama sab lai bola...sab lai katera hiddinxu,1,1,1,0,0
"tesley malai kutyo",0,0,0,1,0
teslai maeley kutey,1,0,0,0,0
tah chikne randi,1,0,0,1,0
lado muji,1,1,0,1,0
tero dudh katro katro,1,1,0,1,0
tmro dudh heramna,1,1,0,1,0
tmro bubu heramna,1,1,0,1,0
tmro bubu katro thulo ho,1,1,0,1,0
tesko dudh thulo rahecha,1,1,0,1,0
teslai chikna paye huney,1,1,1,0,0
k talai churna parya cha,1,1,0,1,0
k tero chaak ma pilo ako cha,1,1,0,1,0
jatibela ni kaam nabigar hai muji,1,1,1,0,0
k khaideyko chu ra tero,1,0,0,0,0
k cahi garna sakchas ra taeley,1,0,1,1,0
milena level tero,1,0,0,1,0
tero bau ama sab jana randi,1,1,0,1,0
tah bhalu hos,1,1,0,1,0
tero mukh ma kira paros,1,0,0,1,0
tero ghar ma ago lagi hos,1,0,0,0,0
tah marija,1,1,1,0,0
tah bhastrachari hostheo bhastrachari ho tesley bhastrachar garyacha,1,1,0,1,0
kera kha muji kera khana lai baseko yahakera jasto kura nagar,1,1,0,1,0
tero bau ko k khaideko chu,1,0,0,1,0
tero k bigar gardeko chu,1,0,0,1,0
talai kati samjaunu,0,0,0,1,0
Tapai rajniti ghusaune mrr ma ayera aile ayrra mrr galat bhanna suhaucha,0,0,0,0,0
Santulit bichar ko chasma vanne xuttai chasma bechnuparne bho bajaar ma,0,0,0,0,0
Sahamat.,0,0,0,0,0
Partygat haina swatantra yuwa chahiya xa yo deash lai,0,0,0,0,0
Thapai haru jasta le garda ho dai bigrako,1,0,0,0,1
Mrr pila jastai xa hamile ni nihali rakhako xu ko k gardai xa yaha,0,0,0,0,0
sadhai rairahanxa 2/4 jhana jhole,1,0,0,0,0
vaktha ra aafu matra jhanni sunni thanni haru aauda jhada khei farak pardina,1,0,0,0,0
Email garana cc rakhera sab details sahit manoj gyawali lai cc rakhera,0,0,0,0,0
mero ni same yei condition cha,0,0,0,0,0
tara arkai bank ho,0,0,0,0,0
7/8 jana chan active jholey haru tini haru ko group chat ni cha re,1,0,0,0,0
khatey kahile nasudhrine vaye,1,0,0,1,0
Nepal iq ma 149th position ma parnu ma yo manxe ko thulo bhumika dekhio,1,0,0,1,0
yo pani kati bhrastachari lai pardafaas garxan sarkar le wastai gardaina ani option nai k baki rahanxa ra,1,0,0,0,0
Top kha emalay hora maobadi ho jatho,1,0,0,1,0
Post haleko kt man parera ho ki lekheko man parera ho vanni hamlai tha xa,0,0,0,0,0
Gaja kelairako jsto layo malai tah,1,0,0,0,0
balatkar garne vayo aba,1,1,1,1,0
Celebrate kati garne vanne pani huncha ye,0,0,0,0,0
aba arko team haryo vandaima aafno win celebrate garna napaunu(toxic),1,0,0,0,0
tah ko hos machikne,1,0,1,1,0
tero k bigardeko chu muji?,1,0,1,1,0
talai ekchoti vanda lagdaena muji,1,0,1,1,0
tah nepali bhara nepali ko baejat garxas muji machikne .,1,0,0,1,0
tah kuerey ko beu hos randi,1,1,0,1,1
tah kuerey hos,1,0,0,1,1
tah ghada ko bhachha hos,1,0,0,1,1
tah ghada hos,1,0,0,1,1
ghada,1,0,0,1,1
tero ghar ma ayera katdinxu,1,0,1,1,0
tero bau ama lai mardinxu,1,0,1,1,0
tera bau,1,0,0,1,0
teri ama,1,0,0,1,0
tera hajurbau,1,0,0,1,0
tah naramri xas,1,0,0,1,0
tah naramro xas,1,0,0,1,0
